City_ID,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description,Rain inches last 3 hours,Snow inches last 3 hours
0,0,Ushuaia,-54.8,-68.3,46.4,87,90,20.8,AR,2020-02-23 21:46:25,overcast clouds,0.0,0.0
1,1,Atuona,-9.8,-139.03,81.61,76,8,13.73,PF,2020-02-23 21:43:44,clear sky,0.0,0.0
2,2,Lichinga,-13.31,35.24,72.52,92,66,2.8,MZ,2020-02-23 21:46:25,broken clouds,0.0,0.0
3,3,Yenagoa,4.92,6.26,82.53,77,100,5.57,NG,2020-02-23 21:46:26,overcast clouds,0.0,0.0
4,4,Punta Arenas,-53.15,-70.92,55.4,62,75,31.09,CL,2020-02-23 21:46:26,broken clouds,0.0,0.0
5,5,Saint-Philippe,-21.36,55.77,75.2,78,0,6.93,RE,2020-02-23 21:46:26,clear sky,0.0,0.0
6,6,Turukhansk,65.82,87.98,13.62,94,100,13.04,RU,2020-02-23 21:46:26,light snow,0.0,0.63
7,7,Isangel,-19.55,169.27,78.76,76,40,14.54,VU,2020-02-23 21:44:05,scattered clouds,0.0,0.0
8,8,Cape Town,-33.93,18.42,66.99,59,0,18.34,ZA,2020-02-23 21:46:27,clear sky,0.0,0.0
9,9,Mar Del Plata,-38.0,-57.56,77.0,50,20,11.41,AR,2020-02-23 21:41:53,few clouds,0.0,0.0
10,10,Hobart,-42.88,147.33,59.0,76,75,5.82,AU,2020-02-23 21:46:27,broken clouds,0.0,0.0
11,11,Callaguip,18.07,120.49,75.2,73,20,2.24,PH,2020-02-23 21:46:27,few clouds,0.0,0.0
12,12,Katsuura,35.13,140.3,42.8,45,20,10.29,JP,2020-02-23 21:46:27,few clouds,0.0,0.0
13,13,East London,-33.02,27.91,66.15,60,73,4.21,ZA,2020-02-23 21:43:35,broken clouds,0.0,0.0
14,14,Nikolskoye,59.7,30.79,37.4,86,90,8.95,RU,2020-02-23 21:46:28,light intensity shower rain,0.0,0.0
15,15,Fortuna,40.6,-124.16,60.01,71,75,3.36,US,2020-02-23 21:46:28,broken clouds,0.0,0.0
16,16,Tasiilaq,65.61,-37.64,12.2,66,60,13.87,GL,2020-02-23 21:43:37,broken clouds,0.0,0.0
17,17,Gao,16.64,1.64,80.94,10,0,14.94,ML,2020-02-23 21:46:28,clear sky,0.0,0.0
18,18,Rikitea,-23.12,-134.97,79.2,70,0,6.13,PF,2020-02-23 21:46:29,clear sky,0.0,0.0
19,19,Vagay,57.94,69.02,18.46,96,5,5.95,RU,2020-02-23 21:46:29,clear sky,0.0,0.0
20,20,La Ronge,55.1,-105.28,33.8,47,40,6.93,CA,2020-02-23 21:46:29,scattered clouds,0.0,0.0
21,21,Vaini,-21.2,-175.2,80.6,88,40,9.17,TO,2020-02-23 21:46:30,scattered clouds,0.0,0.0
22,22,Hithadhoo,-0.6,73.08,83.41,76,92,13.69,MV,2020-02-23 21:46:30,overcast clouds,0.0,0.0
23,23,Arman,59.7,150.17,-2.31,98,38,4.09,RU,2020-02-23 21:46:30,scattered clouds,0.0,0.0
24,24,Peniche,39.36,-9.38,64.99,59,0,6.93,PT,2020-02-23 21:46:30,clear sky,0.0,0.0
25,25,Sao Joao Da Barra,-21.64,-41.05,77.0,69,100,4.7,BR,2020-02-23 21:46:30,overcast clouds,0.0,0.0
26,26,Perth,-31.93,115.83,72.0,68,40,17.22,AU,2020-02-23 21:45:36,light intensity shower rain,0.0,0.0
27,27,Bluff,-46.6,168.33,55.44,75,66,5.08,NZ,2020-02-23 21:43:50,broken clouds,0.0,0.0
28,28,Minab,27.15,57.08,68.0,94,40,4.7,IR,2020-02-23 21:46:31,mist,0.0,0.0
29,29,Weymouth,42.22,-70.94,54.0,27,1,10.29,US,2020-02-23 21:43:55,clear sky,0.0,0.0
30,30,Samarai,-10.62,150.67,78.55,89,25,3.18,PG,2020-02-23 21:46:32,light rain,1.0,0.0
31,31,Georgetown,5.41,100.34,78.8,78,20,2.24,MY,2020-02-23 21:43:54,few clouds,0.0,0.0
32,32,Polunochnoye,60.87,60.42,24.44,84,0,11.7,RU,2020-02-23 21:46:32,clear sky,0.0,0.0
33,33,Busselton,-33.65,115.33,68.0,47,72,14.25,AU,2020-02-23 21:46:33,broken clouds,0.0,0.0
34,34,Vao,-22.67,167.48,78.08,75,50,12.88,NC,2020-02-23 21:46:33,scattered clouds,0.0,0.0
35,35,Sioux Lookout,50.1,-91.92,37.4,55,90,9.17,CA,2020-02-23 21:46:33,overcast clouds,0.0,0.0
36,36,Moussoro,13.64,16.49,75.02,16,0,18.01,TD,2020-02-23 21:46:33,clear sky,0.0,0.0
37,37,Kodiak,57.79,-152.41,24.8,35,1,18.34,US,2020-02-23 21:44:47,clear sky,0.0,0.0
38,38,Nouadhibou,20.93,-17.03,68.0,77,100,11.41,MR,2020-02-23 21:46:34,overcast clouds,0.0,0.0
39,39,Saint-Augustin,51.23,-58.65,20.84,78,97,10.02,CA,2020-02-23 21:44:00,overcast clouds,0.0,0.0
40,40,Butaritari,3.07,172.79,84.88,77,76,12.91,KI,2020-02-23 21:46:34,moderate rain,6.0,0.0
41,41,Lavrentiya,65.58,-171.0,-7.56,75,0,5.14,RU,2020-02-23 21:46:34,clear sky,0.0,0.0
42,42,Castro,-24.79,-50.01,67.93,78,90,2.66,BR,2020-02-23 21:43:54,overcast clouds,0.0,0.0
43,43,Carnarvon,-24.87,113.63,69.8,88,0,4.7,AU,2020-02-23 21:46:35,clear sky,0.0,0.0
44,44,Mataura,-46.19,168.86,56.46,76,77,2.1,NZ,2020-02-23 21:43:47,broken clouds,0.0,0.0
45,45,Kralendijk,12.15,-68.27,84.2,58,38,12.75,BQ,2020-02-23 21:46:35,scattered clouds,0.0,0.0
46,46,Kapaa,22.08,-159.32,79.0,69,1,8.05,US,2020-02-23 21:43:09,clear sky,0.0,0.0
47,47,Evensk,61.95,159.23,-2.9,96,100,5.66,RU,2020-02-23 21:46:35,light snow,0.0,0.25
48,48,Hermanus,-34.42,19.23,66.99,75,0,8.99,ZA,2020-02-23 21:46:36,clear sky,0.0,0.0
49,49,Tchamba,9.03,1.42,82.24,18,5,5.77,TG,2020-02-23 21:46:36,clear sky,0.0,0.0
50,50,Avarua,-21.21,-159.78,78.8,94,100,4.7,CK,2020-02-23 21:43:46,moderate rain,0.0,0.0
51,51,Narsaq,60.92,-46.05,24.8,53,100,12.75,GL,2020-02-23 21:46:36,light snow,0.0,1.44
52,52,Darhan,49.49,105.92,11.21,85,100,3.8,MN,2020-02-23 21:46:37,overcast clouds,0.0,0.0
53,53,Jamestown,42.1,-79.24,48.99,26,1,16.11,US,2020-02-23 21:46:37,clear sky,0.0,0.0
54,54,Challans,46.84,-1.87,53.6,100,90,9.17,FR,2020-02-23 21:46:37,heavy intensity drizzle rain,0.0,0.0
55,55,Khatanga,71.97,102.5,14.29,91,96,15.57,RU,2020-02-23 21:46:37,light snow,0.0,0.25
56,56,Saldanha,-33.01,17.94,71.6,46,0,4.7,ZA,2020-02-23 21:46:37,clear sky,0.0,0.0
57,57,Buala,-8.14,159.59,81.45,81,10,3.96,SB,2020-02-23 21:44:09,light rain,1.44,0.0
58,58,Hwange,-18.37,26.5,70.29,91,99,7.54,ZW,2020-02-23 21:46:38,light rain,2.88,0.0
59,59,Pangnirtung,66.15,-65.71,-29.2,60,75,1.79,CA,2020-02-23 21:46:38,broken clouds,0.0,0.0
60,60,Geraldton,-28.77,114.6,71.6,94,0,1.12,AU,2020-02-23 21:46:39,clear sky,0.0,0.0
61,61,Mount Gambier,-37.83,140.77,57.2,100,90,8.05,AU,2020-02-23 21:46:39,overcast clouds,0.0,0.0
62,62,Albany,42.6,-73.97,52.0,29,75,5.82,US,2020-02-23 21:46:39,broken clouds,0.0,0.0
63,63,Saint-Denis,48.92,2.33,54.0,93,90,9.17,FR,2020-02-23 21:46:40,light intensity drizzle rain,0.0,0.0
64,64,Newport,51.59,-3.0,46.99,75,100,3.36,GB,2020-02-23 21:42:07,light rain,0.0,0.0
65,65,Bredasdorp,-34.53,20.04,66.2,55,0,10.29,ZA,2020-02-23 21:46:40,clear sky,0.0,0.0
66,66,Bethel,41.37,-73.41,54.0,20,5,9.17,US,2020-02-23 21:46:40,clear sky,0.0,0.0
67,67,Kieta,-6.22,155.63,81.63,74,37,4.47,PG,2020-02-23 21:46:41,light rain,1.0,0.0
68,68,Severo-Kurilsk,50.68,156.12,24.21,95,100,35.48,RU,2020-02-23 21:46:41,snow,0.0,2.75
69,69,Ugoofaaru,5.67,73.0,82.94,76,25,20.22,MV,2020-02-23 21:46:41,scattered clouds,0.0,0.0
70,70,Baruun-Urt,46.68,113.28,13.24,84,100,5.7,MN,2020-02-23 21:46:41,overcast clouds,0.0,0.0
71,71,Yellowknife,62.46,-114.35,-2.0,63,20,6.93,CA,2020-02-23 21:46:41,few clouds,0.0,0.0
72,72,Tuy Hoa,13.08,109.3,73.76,79,4,17.49,VN,2020-02-23 21:46:42,light rain,0.19,0.0
73,73,Tuktoyaktuk,69.45,-133.04,-5.8,70,75,13.87,CA,2020-02-23 21:46:42,light snow,0.0,0.0
74,74,Sayyan,15.17,44.32,52.21,23,72,2.84,YE,2020-02-23 21:46:42,broken clouds,0.0,0.0
75,75,Okhotsk,59.38,143.3,-14.96,77,16,7.9,RU,2020-02-23 21:46:42,few clouds,0.0,0.0
76,76,Saskylakh,71.92,114.08,5.74,91,100,8.63,RU,2020-02-23 21:46:42,overcast clouds,0.0,0.0
77,77,Omsukchan,62.53,155.8,-18.36,100,79,1.01,RU,2020-02-23 21:46:43,broken clouds,0.0,0.0
78,78,Sao Pedro Da Aldeia,-22.84,-42.1,77.0,69,75,4.7,BR,2020-02-23 21:46:43,broken clouds,0.0,0.0
79,79,Balikpapan,-1.27,116.83,78.8,88,20,6.93,ID,2020-02-23 21:46:43,few clouds,0.0,0.0
80,80,Itoman,26.12,127.67,60.8,77,20,2.24,JP,2020-02-23 21:46:43,few clouds,0.0,0.0
81,81,Asyut,27.18,31.18,49.23,59,45,5.39,EG,2020-02-23 21:41:57,scattered clouds,0.0,0.0
82,82,Flinders,-34.58,150.86,73.0,68,0,6.93,AU,2020-02-23 21:43:47,clear sky,0.0,0.0
83,83,Forestville,38.85,-76.88,59.0,18,1,9.17,US,2020-02-23 21:44:06,clear sky,0.0,0.0
84,84,Salalah,17.02,54.09,75.2,69,0,4.7,OM,2020-02-23 21:46:44,clear sky,0.0,0.0
85,85,Moranbah,-22.0,148.05,72.0,91,100,18.5,AU,2020-02-23 21:46:44,overcast clouds,0.0,0.0
86,86,Chokurdakh,70.63,147.92,-20.96,97,77,2.82,RU,2020-02-23 21:42:20,broken clouds,0.0,0.0
87,87,Dunedin,-45.87,170.5,56.26,78,46,3.38,NZ,2020-02-23 21:46:27,scattered clouds,0.0,0.0
88,88,Moncao,42.08,-8.48,57.99,71,0,2.24,PT,2020-02-23 21:46:45,clear sky,0.0,0.0
89,89,New Norfolk,-42.78,147.06,59.0,76,75,5.82,AU,2020-02-23 21:46:45,broken clouds,0.0,0.0
90,90,Aklavik,68.22,-135.01,-4.0,70,75,5.82,CA,2020-02-23 21:46:45,light snow,0.0,0.0
91,91,Yaan,7.38,8.57,84.52,13,19,3.69,NG,2020-02-23 21:46:46,few clouds,0.0,0.0
92,92,Ponta Do Sol,32.67,-17.1,69.01,45,20,18.34,PT,2020-02-23 21:46:46,few clouds,0.0,0.0
93,93,Airai,-8.93,125.41,66.69,82,0,4.43,TL,2020-02-23 21:44:02,clear sky,0.0,0.0
94,94,Saint-Pierre,-21.34,55.48,75.2,78,0,6.93,RE,2020-02-23 21:46:46,clear sky,0.0,0.0
95,95,Turayf,31.67,38.66,53.6,62,100,20.8,SA,2020-02-23 21:46:46,overcast clouds,0.0,0.0
96,96,Kavieng,-2.57,150.8,84.29,69,2,8.01,PG,2020-02-23 21:46:47,clear sky,0.0,0.0
97,97,Muravlenko,63.79,74.52,25.88,90,100,25.3,RU,2020-02-23 21:46:47,overcast clouds,0.0,0.0
98,98,Rocky Mountain House,52.37,-114.92,27.63,86,87,9.73,CA,2020-02-23 21:45:29,overcast clouds,0.0,0.0
99,99,Qaanaaq,77.48,-69.36,-19.41,68,0,7.14,GL,2020-02-23 21:46:47,clear sky,0.0,0.0
100,100,Upernavik,72.79,-56.15,-17.82,81,0,7.31,GL,2020-02-23 21:45:45,clear sky,0.0,0.0
101,101,Finschhafen,-6.6,147.87,82.81,76,64,8.1,PG,2020-02-23 21:46:48,moderate rain,4.63,0.0
102,102,Cherskiy,68.75,161.3,-27.56,89,48,6.17,RU,2020-02-23 21:43:53,scattered clouds,0.0,0.0
103,103,Nakuru,-0.28,36.07,56.34,91,66,7.67,KE,2020-02-23 21:46:48,broken clouds,0.0,0.0
104,104,Oranjestad,12.52,-70.03,84.2,58,40,12.75,AW,2020-02-23 21:46:49,scattered clouds,0.0,0.0
105,105,Ankara,39.92,32.85,41.0,75,75,1.12,TR,2020-02-23 21:46:19,broken clouds,0.0,0.0
106,106,Huadian,42.96,126.75,20.41,90,10,8.05,CN,2020-02-23 21:46:49,clear sky,0.0,0.0
107,107,Acarau,-2.89,-40.12,78.28,88,7,5.28,BR,2020-02-23 21:42:25,clear sky,0.0,0.0
108,108,San Andres,12.58,-81.7,80.6,78,75,11.41,CO,2020-02-23 21:45:45,broken clouds,0.0,0.0
109,109,Bang Len,14.02,100.17,77.0,61,100,3.36,TH,2020-02-23 21:46:50,overcast clouds,0.0,0.0
110,110,Lebu,-37.62,-73.65,63.63,63,0,9.86,CL,2020-02-23 21:46:50,clear sky,0.0,0.0
111,111,Pascagoula,30.37,-88.56,64.99,55,75,5.82,US,2020-02-23 21:46:50,broken clouds,0.0,0.0
112,112,Mogadishu,2.04,45.34,80.62,81,41,26.8,SO,2020-02-23 21:46:51,scattered clouds,0.0,0.0
113,113,Namibe,-15.2,12.15,74.35,78,100,7.16,AO,2020-02-23 21:43:54,overcast clouds,0.0,0.0
114,114,Dikson,73.51,80.55,28.47,92,100,27.6,RU,2020-02-23 21:46:51,light snow,0.0,0.25
115,115,Esperance,-33.87,121.9,64.4,88,90,12.75,AU,2020-02-23 21:42:52,overcast clouds,0.0,0.0
116,116,Bikin,46.82,134.26,9.73,95,100,4.54,RU,2020-02-23 21:46:52,overcast clouds,0.0,0.0
117,117,Samfya,-11.36,29.56,67.96,92,100,3.15,ZM,2020-02-23 21:46:52,overcast clouds,0.0,0.0
118,118,Bathsheba,13.22,-59.52,82.4,74,40,13.87,BB,2020-02-23 21:42:31,scattered clouds,0.0,0.0
119,119,Fagersta,60.0,15.79,36.0,59,0,11.41,SE,2020-02-23 21:46:52,clear sky,0.0,0.0
120,120,Talnakh,69.49,88.4,15.8,92,75,29.08,RU,2020-02-23 21:46:53,shower snow,0.0,0.0
121,121,Ust-Nera,64.57,143.2,-27.11,99,100,1.7,RU,2020-02-23 21:46:53,overcast clouds,0.0,0.0
122,122,Irbil,36.19,44.01,51.8,81,0,9.17,IQ,2020-02-23 21:46:35,clear sky,0.0,0.0
123,123,Port-Gentil,-0.72,8.78,82.4,88,20,5.82,GA,2020-02-23 21:43:53,few clouds,0.0,0.0
124,124,Iqaluit,63.75,-68.51,-25.01,67,20,10.29,CA,2020-02-23 21:46:53,few clouds,0.0,0.0
125,125,Sechura,-5.56,-80.82,74.28,84,2,15.14,PE,2020-02-23 21:46:54,clear sky,0.0,0.0
126,126,Hilo,19.73,-155.09,78.8,61,75,12.75,US,2020-02-23 21:46:54,broken clouds,0.0,0.0
127,127,Buin,-33.73,-70.75,80.6,28,0,6.93,CL,2020-02-23 21:46:54,clear sky,0.0,0.0
128,128,Asfi,32.3,-9.24,62.8,40,0,8.57,MA,2020-02-23 21:46:54,clear sky,0.0,0.0
129,129,Tahoua,14.89,5.27,82.4,8,0,13.87,NE,2020-02-23 21:44:10,dust,0.0,0.0
130,130,Majene,-3.54,118.97,77.0,87,100,2.89,ID,2020-02-23 21:46:55,overcast clouds,0.0,0.0
131,131,Varkaus,62.33,27.87,28.0,99,86,1.99,FI,2020-02-23 21:46:55,overcast clouds,0.0,0.0
132,132,Provideniya,64.38,-173.3,-6.63,70,0,2.08,RU,2020-02-23 21:46:55,clear sky,0.0,0.0
133,133,Broken Hill,-31.95,141.43,69.8,64,44,6.93,AU,2020-02-23 21:46:55,scattered clouds,0.0,0.0
134,134,Buraydah,26.33,43.98,68.0,49,30,9.17,SA,2020-02-23 21:46:56,scattered clouds,0.0,0.0
135,135,Kavaratti,10.57,72.64,81.52,75,100,8.14,IN,2020-02-23 21:46:56,overcast clouds,0.0,0.0
136,136,Bengkulu,-3.8,102.27,74.08,89,3,4.56,ID,2020-02-23 21:46:56,clear sky,0.0,0.0
137,137,Winnemucca,40.97,-117.74,57.2,20,1,12.75,US,2020-02-23 21:46:56,clear sky,0.0,0.0
138,138,Ilebo,-4.32,20.58,73.67,86,100,1.88,CD,2020-02-23 21:46:56,overcast clouds,0.0,0.0
139,139,Atambua,-9.11,124.89,74.77,89,13,1.52,ID,2020-02-23 21:42:50,few clouds,0.0,0.0
140,140,Nalut,30.33,10.85,51.55,56,0,9.57,LY,2020-02-23 21:46:57,clear sky,0.0,0.0
141,141,Avera,33.19,-82.53,63.0,26,40,4.7,US,2020-02-23 21:46:57,scattered clouds,0.0,0.0
142,142,Grand Gaube,-20.01,57.66,77.0,88,40,4.7,MU,2020-02-23 21:46:57,scattered clouds,0.0,0.0
143,143,San Quintin,30.48,-115.95,60.78,70,0,20.98,MX,2020-02-23 21:46:57,clear sky,0.0,0.0
144,144,Paragominas,-2.97,-47.48,82.2,78,14,4.29,BR,2020-02-23 21:46:58,few clouds,0.0,0.0
145,145,Nantucket,41.28,-70.1,46.4,70,1,12.75,US,2020-02-23 21:46:58,clear sky,0.0,0.0
146,146,Tangzhai,34.43,116.59,53.01,65,100,1.99,CN,2020-02-23 21:46:58,light rain,0.19,0.0
147,147,Sabla,12.75,4.71,80.89,11,0,12.91,NG,2020-02-23 21:46:59,clear sky,0.0,0.0
148,148,Ilulissat,69.22,-51.1,-2.2,58,0,6.93,GL,2020-02-23 21:46:59,clear sky,0.0,0.0
149,149,Bambous Virieux,-20.34,57.76,77.0,88,40,4.7,MU,2020-02-23 21:46:59,scattered clouds,0.0,0.0
150,150,Te Anau,-45.42,167.72,52.12,72,2,2.98,NZ,2020-02-23 21:46:59,clear sky,0.0,0.0
151,151,Vostok,46.49,135.88,5.68,92,100,3.89,RU,2020-02-23 21:46:59,overcast clouds,0.0,0.0
152,152,Saint George,37.1,-113.58,57.0,40,0,20.8,US,2020-02-23 21:42:51,clear sky,0.0,0.0
153,153,Salta,-24.79,-65.41,66.2,68,40,9.17,AR,2020-02-23 21:42:02,scattered clouds,0.0,0.0
154,154,Babino,56.23,43.62,33.01,94,90,11.18,RU,2020-02-23 21:47:00,overcast clouds,0.0,0.0
155,155,Kiunga,-6.12,141.29,73.76,99,96,1.92,PG,2020-02-23 21:47:00,light rain,2.38,0.0
156,156,Tursunzoda,38.51,68.23,55.4,54,90,6.71,TJ,2020-02-23 21:47:00,overcast clouds,0.0,0.0
157,157,Tabou,4.42,-7.35,78.84,91,96,5.3,CI,2020-02-23 21:43:58,overcast clouds,0.0,0.0
158,158,Barrow,71.29,-156.79,-27.4,74,1,10.29,US,2020-02-23 21:43:53,clear sky,0.0,0.0
159,159,Hamamatsu,34.7,137.73,43.0,67,0,10.0,JP,2020-02-23 21:45:12,clear sky,0.0,0.0
160,160,Atar,20.52,-13.05,84.87,16,100,7.43,MR,2020-02-23 21:47:01,overcast clouds,0.0,0.0
161,161,Quelimane,-17.88,36.89,84.2,79,99,6.93,MZ,2020-02-23 21:43:04,overcast clouds,0.0,0.0
162,162,Coria,39.99,-6.54,54.0,68,0,2.44,ES,2020-02-23 21:47:02,clear sky,0.0,0.0
163,163,Tiksi,71.69,128.87,-8.19,87,100,7.85,RU,2020-02-23 21:47:02,overcast clouds,0.0,0.0
164,164,Honiara,-9.43,159.95,80.6,83,40,2.24,SB,2020-02-23 21:47:02,scattered clouds,0.0,0.0
165,165,Ulaanbaatar,47.91,106.88,12.2,78,75,2.24,MN,2020-02-23 21:46:57,broken clouds,0.0,0.0
166,166,Iquitos,-3.75,-73.25,86.0,70,75,2.24,PE,2020-02-23 21:47:03,broken clouds,0.0,0.0
167,167,Vardo,70.37,31.11,26.6,92,75,12.75,NO,2020-02-23 21:47:03,broken clouds,0.0,0.0
168,168,Luderitz,-26.65,15.16,71.46,57,0,24.92,,2020-02-23 21:47:03,clear sky,0.0,0.0
169,169,San Policarpo,12.18,125.51,78.6,86,6,15.23,PH,2020-02-23 21:47:03,light rain,0.69,0.0
170,170,Nokia,61.47,23.5,35.01,89,75,10.29,FI,2020-02-23 21:47:04,light shower snow,0.0,0.0
171,171,Sonoita,31.85,-112.83,64.0,52,0,1.99,MX,2020-02-23 21:47:04,clear sky,0.0,0.0
172,172,Leningradskiy,69.38,178.42,-14.89,72,100,5.88,RU,2020-02-23 21:43:53,overcast clouds,0.0,0.0
173,173,Buchanan,5.88,-10.05,80.98,86,19,6.53,LR,2020-02-23 21:47:04,few clouds,0.0,0.0
174,174,Vanimo,-2.67,141.3,82.13,80,100,15.3,PG,2020-02-23 21:44:11,light rain,2.13,0.0
175,175,Fairbanks,64.84,-147.72,-2.0,76,1,2.64,US,2020-02-23 21:45:03,clear sky,0.0,0.0
176,176,Jvari,42.72,42.05,41.45,91,28,1.81,GE,2020-02-23 21:47:05,scattered clouds,0.0,0.0
177,177,Puerto Ayora,-0.74,-90.35,84.2,74,75,10.29,EC,2020-02-23 21:47:05,broken clouds,0.0,0.0
178,178,Iskateley,67.68,53.15,30.27,80,89,28.23,RU,2020-02-23 21:44:00,overcast clouds,0.0,0.0
179,179,Saint-Joseph,-21.37,55.62,75.2,78,0,6.93,RE,2020-02-23 21:47:05,clear sky,0.0,0.0
180,180,Mount Isa,-20.73,139.5,78.8,78,75,8.05,AU,2020-02-23 21:47:06,broken clouds,0.0,0.0
